lag,aic,bic,n_obs,target,network_id
4,-7858.2359989226825,-7731.44080799378,3096,silver_futures_LTC,within_silver
5,-8093.600481536276,-7936.624358723189,3095,silver_futures_LTC,within_silver
1,-2840.808850596325,-2804.5758420495986,3099,silver_spot_LTC,within_silver
2,-3018.45307688483,-2952.0294446540847,3098,silver_spot_LTC,within_silver
3,-4456.872212940702,-4360.261186061131,3097,silver_spot_LTC,within_silver
4,-4795.407155890615,-4668.611964961713,3096,silver_spot_LTC,within_silver
5,-5276.520739529995,-5119.544616716908,3095,silver_spot_LTC,within_silver
1,12288.862049920506,12325.095058467232,3099,platinum_futures_STC,within_platinum
2,12203.047022987925,12269.470655218669,3098,platinum_futures_STC,within_platinum
3,12176.088966389518,12272.699993269089,3097,platinum_futures_STC,within_platinum
4,12093.601061249437,12220.39625217834,3096,platinum_futures_STC,within_platinum
5,12035.95469569211,12192.930818505196,3095,platinum_futures_STC,within_platinum
1,11848.263615825941,11884.496624372667,3099,platinum_spot_STC,within_platinum
2,11800.64011155411,11867.063743784855,3098,platinum_spot_STC,within_platinum
3,11782.533031114757,11879.144057994328,3097,platinum_spot_STC,within_platinum
4,11692.141704949567,11818.936895878469,3096,platinum_spot_STC,within_platinum
5,11618.95270599153,11775.928828804617,3095,platinum_spot_STC,within_platinum
1,13.71705435529202,49.950062902018516,3099,platinum_futures_MTC,within_platinum
2,-1279.251374534534,-1212.8277423037891,3098,platinum_futures_MTC,within_platinum
3,-1714.0553045465776,-1617.4442776670064,3097,platinum_futures_MTC,within_platinum
4,-1963.586263131755,-1836.791072202853,3096,platinum_futures_MTC,within_platinum
5,-2055.250298637954,-1898.274175824868,3095,platinum_futures_MTC,within_platinum
1,-619.3376030333193,-583.1045944865928,3099,platinum_spot_MTC,within_platinum
2,-1609.4269526007984,-1543.0033203700534,3098,platinum_spot_MTC,within_platinum
3,-2217.147109242779,-2120.5360823632077,3097,platinum_spot_MTC,within_platinum
4,-2541.964466458884,-2415.1692755299823,3096,platinum_spot_MTC,within_platinum
5,-2678.4911495190254,-2521.5150267059394,3095,platinum_spot_MTC,within_platinum
1,-7007.558988601944,-6971.325980055218,3099,platinum_futures_LTC,within_platinum
2,-7071.101636819523,-7004.678004588778,3098,platinum_futures_LTC,within_platinum
3,-7670.356117092466,-7573.745090212895,3097,platinum_futures_LTC,within_platinum
4,-7807.420834363889,-7680.625643434987,3096,platinum_futures_LTC,within_platinum
5,-8027.572073982257,-7870.595951169171,3095,platinum_futures_LTC,within_platinum
1,-8517.218320220749,-8480.985311674023,3099,platinum_spot_LTC,within_platinum
2,-8607.188566884932,-8540.764934654188,3098,platinum_spot_LTC,within_platinum
3,-9549.314905926294,-9452.703879046723,3097,platinum_spot_LTC,within_platinum
4,-9625.675569117022,-9498.88037818812,3096,platinum_spot_LTC,within_platinum
5,-9744.386169485697,-9587.41004667261,3095,platinum_spot_LTC,within_platinum
