analysis_type,base_score,fold,group,high_state,importance_drop,importance_positive,mode,model_type,n_features,permuted_score_mean,permuted_score_std,signed_importance,target
classification,,3,CFTC_GOLD,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,,,,tci_same_scale_MTC
classification,,3,CFTC_PALLADIUM,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,,,,tci_same_scale_MTC
classification,,3,CFTC_PLATINUM,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,,,,tci_same_scale_MTC
classification,,3,CFTC_SILVER,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,35,,,,tci_same_scale_MTC
classification,,3,GPR,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,25,,,,tci_same_scale_MTC
classification,,3,INFLATION_GROWTH,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,15,,,,tci_same_scale_MTC
classification,,3,OIL,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,10,,,,tci_same_scale_MTC
classification,,3,RATE,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,,,,tci_same_scale_MTC
classification,,3,REL_GOLD_PLATINUM,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,,,,tci_same_scale_MTC
classification,,3,REL_GOLD_SILVER,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,,,,tci_same_scale_MTC
classification,,3,REL_PLATINUM_PALLADIUM,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,20,,,,tci_same_scale_MTC
classification,,3,RISK_STRESS,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,15,,,,tci_same_scale_MTC
classification,,3,TCI_AR,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,5,,,,tci_same_scale_MTC
classification,,3,USD,high_q75,,,arx_external_plus_target_lags,RandomForestClassifierPermutation,10,,,,tci_same_scale_MTC
classification,,3,CFTC_GOLD,high_q90,16.204461807046997,16.204461807046997,external_only,LogisticCoefficient,35,,,3.161904975053344,tci_same_scale_MTC
classification,,3,CFTC_PALLADIUM,high_q90,11.79190100481511,11.79190100481511,external_only,LogisticCoefficient,35,,,0.19126495402985455,tci_same_scale_MTC
classification,,3,CFTC_PLATINUM,high_q90,14.711626874086937,14.711626874086937,external_only,LogisticCoefficient,35,,,-3.372095506942321,tci_same_scale_MTC
classification,,3,CFTC_SILVER,high_q90,11.713135544086324,11.713135544086324,external_only,LogisticCoefficient,35,,,3.9979547582008026,tci_same_scale_MTC
classification,,3,GPR,high_q90,9.483607411072764,9.483607411072764,external_only,LogisticCoefficient,25,,,-1.1086674184052019,tci_same_scale_MTC
classification,,3,INFLATION_GROWTH,high_q90,4.227281673552633,4.227281673552633,external_only,LogisticCoefficient,15,,,-1.9977703556412871,tci_same_scale_MTC
classification,,3,OIL,high_q90,3.4323812651828076,3.4323812651828076,external_only,LogisticCoefficient,10,,,0.7409692283054118,tci_same_scale_MTC
classification,,3,RATE,high_q90,4.667598270564873,4.667598270564873,external_only,LogisticCoefficient,20,,,-0.25151455265816786,tci_same_scale_MTC
classification,,3,REL_GOLD_PLATINUM,high_q90,2.208089776510695,2.208089776510695,external_only,LogisticCoefficient,20,,,-0.9384509032203832,tci_same_scale_MTC
classification,,3,REL_GOLD_SILVER,high_q90,4.682683935145376,4.682683935145376,external_only,LogisticCoefficient,20,,,0.3689276283165779,tci_same_scale_MTC
classification,,3,REL_PLATINUM_PALLADIUM,high_q90,4.8998399528626955,4.8998399528626955,external_only,LogisticCoefficient,20,,,-2.2209736983302193,tci_same_scale_MTC
classification,,3,RISK_STRESS,high_q90,4.424872050214616,4.424872050214616,external_only,LogisticCoefficient,15,,,0.4876310733660628,tci_same_scale_MTC
classification,,3,USD,high_q90,3.338408608619277,3.338408608619277,external_only,LogisticCoefficient,10,,,0.5515271288850915,tci_same_scale_MTC
